SubscriberKey,EmailAddress,NBA_Code,Dynamic_Subject_Line_ID
003ub6XQ2RqdERCCMu,luis.rodriguez@outlook.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003rQuuQhmO1uHcXGu,pedro.gomez@yahoo.es,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003mkq72WR6gihgFn3,pedro.gomez@yahoo.es,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003CLcC5KI6qpTbHJJ,maria.garcia@outlook.com,PUSH_NEW_COLLECTION_NO_PROMO,SL_VIP_005
003vlbrNKMmp3eRuA1,laura.lopez@yahoo.es,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003sfPaHpsKMziItaI,laura.lopez@yahoo.es,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003XFYTrVrFuLWU8Pm,ana.martinez@hotmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003WA9FV73LE5LTSxs,maria.garcia@gmail.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
0031RQPJfe967DPaWQ,elena.ruiz@gmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003Fl31gWp8U4QPBLF,maria.garcia@outlook.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
0032CvvDefRNiSuMSx,carlos.sanchez@outlook.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003VMptmTITH9rLx8c,juan.perez@gmail.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
0030jIKlhGmnZ3Yr4E,sofia.diaz@gmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003jYbyfsk9j6ZJ3KB,laura.lopez@yahoo.es,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003kP9PYb6OU9jIW79,ana.martinez@hotmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003jxXp4gCEZL7WL88,luis.rodriguez@outlook.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003IpRxicY07mKWAWq,laura.lopez@yahoo.es,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003gHzNqkMR1iF8KST,luis.rodriguez@hotmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003Dv9BNN25l3mDwT6,elena.ruiz@yahoo.es,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003G0ytfsaSGl4Ux7P,maria.garcia@gmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003kcDkjmjNMbKPZrS,maria.garcia@gmail.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003CZMD06XXUtGNT0C,carlos.sanchez@hotmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
0030ux8RtypzZKtv4Y,sofia.diaz@yahoo.es,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003kOR8aRLUJwt4KLG,sofia.diaz@outlook.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003OBxvj7L6DDe8IFn,luis.rodriguez@outlook.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003SAXlNA6JTgvjgsx,maria.garcia@gmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003dUYNrlG0bqIHckw,sofia.diaz@hotmail.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003lFwcCzLgu510dSC,luis.rodriguez@yahoo.es,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
0034PTEsiSL91V8t3c,juan.perez@hotmail.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003hL8071URM0HVEV0,sofia.diaz@yahoo.es,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
0039QLM2hvmQTrbxxv,sofia.diaz@hotmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003pvOc5iL22X8ESNF,diego.fernandez@hotmail.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003r7atna8PeQyKSNl,diego.fernandez@hotmail.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003zDMczzwAvI5LIiN,laura.lopez@yahoo.es,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003HwcOSbyUW7YjpWw,diego.fernandez@outlook.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003qY2KlflL1gcpsNp,luis.rodriguez@hotmail.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003SBams5GBxwinyPS,juan.perez@hotmail.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
0036OoaTFzLmgcBx2g,luis.rodriguez@yahoo.es,EMAIL_WEEKLY_NEWSLETTER,SL_GEN_001
003GjQA2Wpa4UCKRzp,luis.rodriguez@yahoo.es,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003sMbQV0l1vSYVBBr,pedro.gomez@yahoo.es,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003qvTjzglat8M1gWF,maria.garcia@yahoo.es,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
0034DUbHJBpDnrA6Jq,diego.fernandez@gmail.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003yIMITZRFe6eQR4o,pedro.gomez@outlook.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003BztQZl6W3zH7WsH,luis.rodriguez@yahoo.es,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003hOyzcceVrFiwrNt,pedro.gomez@yahoo.es,EMAIL_WEEKLY_NEWSLETTER,SL_GEN_001
003FEYfUYs38FsDsCY,carlos.sanchez@gmail.com,PUSH_NEW_COLLECTION_NO_PROMO,SL_VIP_005
003nRlLW1VXLCQ9Z69,juan.perez@hotmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
0036EWtSZut9suxEGi,diego.fernandez@hotmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003oQwcd6FyCPOQkXB,elena.ruiz@hotmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003TmzCwkkwjI3HytL,elena.ruiz@hotmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
0035oWRJo6WX4NoyZQ,diego.fernandez@hotmail.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003nmPCBqpw1oeJ8Dy,elena.ruiz@outlook.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003BiOk9zMMbxzq7Kn,ana.martinez@hotmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003y30HzLYwK0f68L6,luis.rodriguez@gmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003A9eTfnu7LjHzmfr,maria.garcia@hotmail.com,PUSH_NEW_COLLECTION_NO_PROMO,SL_VIP_005
003boENKIKlejPR58e,pedro.gomez@yahoo.es,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003SLm8f681843Vpo4,maria.garcia@hotmail.com,EMAIL_WEEKLY_NEWSLETTER,SL_GEN_001
003coMgp2WuSqyzkz1,luis.rodriguez@yahoo.es,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003FawnXJRYcErVvGo,diego.fernandez@hotmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
00327wlQzyOJ37IVJo,juan.perez@gmail.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003ZxV18571ix13sUf,luis.rodriguez@hotmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003MosUxtHH406oDm0,pedro.gomez@outlook.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003JjrTvEorh83YW0O,elena.ruiz@gmail.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003Uif8EZDphg3mGTT,juan.perez@gmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003Mwe3i16leWiInMV,elena.ruiz@outlook.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003WzNj9zHJ60XvUcc,sofia.diaz@yahoo.es,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003XvsyZLd9zuaVX7K,pedro.gomez@hotmail.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003OoufRnpJmicEwTj,laura.lopez@hotmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
0036X35jz1Pk6AVGnk,diego.fernandez@yahoo.es,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003B6gFQG87Z5vOJyO,sofia.diaz@gmail.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003lCfel85lrrPVyGd,diego.fernandez@yahoo.es,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003fhQ2zPShhFdjweR,ana.martinez@hotmail.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003rEAPe19ASDKpEkP,pedro.gomez@gmail.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003IG13onaNkcOJl4e,maria.garcia@hotmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003sAVbBjdlMuiHqMI,juan.perez@yahoo.es,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003sqNya7ekijAKHer,laura.lopez@hotmail.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003l0ty2TCfD51GZ1Q,sofia.diaz@gmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003HjD7q5aDgcnqs3w,juan.perez@yahoo.es,PUSH_NEW_COLLECTION_NO_PROMO,SL_VIP_005
0036j8dktqE0h3Nsyi,ana.martinez@yahoo.es,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003hb5ppqSo3T2txOl,maria.garcia@gmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003rPTHJvBopcjMKGW,pedro.gomez@yahoo.es,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003JNY9sFS7EGY88Vk,carlos.sanchez@outlook.com,EMAIL_WEEKLY_NEWSLETTER,SL_GEN_001
003nsDCPDlLIZXmBwo,pedro.gomez@outlook.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003uHAYdG8kB8rryJo,luis.rodriguez@yahoo.es,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
003kPD9wvqLeEDrD7O,ana.martinez@hotmail.com,SMS_RECOVER_CART_20_OFF,SL_URGENCY_001
003pyE7n3Gqzn80fdO,juan.perez@gmail.com,EMAIL_WE_MISS_YOU_STORYTELLING,SL_EMO_009
