event_timestamp,event_name,user_pseudo_id,user_id,captured_email,page_location
1767786859152669,page_view,ga_4vMmDazAns,003MGdpekKVGY5mOqj,ana.martinez@outlook.com,https://shop.com/product/7
1767786821206484,add_to_cart,ga_cEvs9lQ0sL,,,https://shop.com/product/41
1767786661878253,add_to_cart,ga_xwSErw7LCz,,,https://shop.com/product/37
1767786655578885,page_view,ga_aBygX48gEv,,,https://shop.com/product/29
1767786880420560,add_to_cart,ga_2MN0L3pb6Y,,,https://shop.com/product/2
1767786454689753,page_view,ga_Ajxq8uQVFo,,,https://shop.com/product/47
1767786269283792,page_view,ga_mEbo4buwf2,,,https://shop.com/product/34
1767786159409879,page_view,ga_cEvs9lQ0sL,,,https://shop.com/product/18
1767786751367875,add_to_cart,ga_VOvckRDjIT,,,https://shop.com/product/20
1767786706158819,add_to_cart,ga_W91yrUn6tY,,,https://shop.com/product/5
1767786190439425,purchase,ga_tEC13Q7mXf,003SA37MjFCUHwibQH,carlos.sanchez@outlook.com,https://shop.com/product/27
1767786706387904,add_to_cart,ga_EaP148BYzx,,,https://shop.com/product/25
1767786880166203,page_view,ga_fWjvRhtePD,,,https://shop.com/product/42
1767786650845303,page_view,ga_W91yrUn6tY,,,https://shop.com/product/40
1767786336392260,page_view,ga_lG1O16jnfw,,,https://shop.com/product/50
1767786437426006,page_view,ga_0x4qEvbzT3,,,https://shop.com/product/5
1767786670443092,page_view,ga_6tIKklQbpr,,,https://shop.com/product/16
1767786761343382,page_view,ga_vTiXJXGA8R,,,https://shop.com/product/17
1767786986010694,page_view,ga_dwXRS7DRrb,,,https://shop.com/product/35
1767786797066089,page_view,ga_gL6xc6u60w,003sAjpBg69017ToIE,elena.ruiz@gmail.com,https://shop.com/product/12
1767786595426472,page_view,ga_owEYlCzQNM,,,https://shop.com/product/28
1767786043655984,page_view,ga_7Tn3lWCOfy,,,https://shop.com/product/23
1767786827536561,page_view,ga_C4FV2DsCSF,,,https://shop.com/product/19
1767786664526133,page_view,ga_C2KOt1bJH8,,,https://shop.com/product/45
1767786532379451,page_view,ga_i7Ie8Zhw2N,,,https://shop.com/product/8
1767786693098337,purchase,ga_4CnWoxcVsW,003r4vAglhA78GwOBR,juan.perez@gmail.com,https://shop.com/product/27
1767786525731156,page_view,ga_WmQL6QnNtp,,,https://shop.com/product/15
1767786988109628,purchase,ga_WmQL6QnNtp,003J1lhnoZQXe8rBwK,juan.perez@hotmail.com,https://shop.com/product/16
1767786008633111,page_view,ga_MaiHo6CG7K,,,https://shop.com/product/14
